4,retail,6,tienda-C,casa-N,1,2020-10-15 19:47:07
3,Prioritario,3,pyme,casa-C,1,2020-10-15 19:47:22
13,retail,30,tienda-A,casa-A,2,2020-10-15 19:48:07
8,Prioritario,25,pyme,casa-P,2,2020-10-15 19:47:52
28,retail,105,tienda-C,casa-C,1,2020-10-15 19:48:52
31,retail,110,tienda-C,casa-C,1,2020-10-15 19:48:37
40,retail,6,tienda-C,casa-N,1,2020-10-15 19:49:22
23,Prioritario,9,pyme,casa-C,1,2020-10-15 19:49:07
49,retail,105,tienda-C,casa-C,1,2020-10-15 19:49:37
30,Prioritario,3,pyme,casa-C,1,2020-10-15 19:49:52
58,retail,90,tienda-A,casa-S,1,2020-10-15 19:50:07
47,Prioritario,14,pyme,casa-C,1,2020-10-15 19:50:22
61,retail,0,tienda,destino,1,2020-10-15 19:50:52
64,retail,90,tienda-A,casa-S,1,2020-10-15 19:50:37
73,retail,12,tienda-B,casa-B,1,2020-10-15 19:51:22
76,retail,20,tienda-B,casa-C,1,2020-10-15 19:51:07
85,retail,120,tienda-B,casa-U,1,2020-10-15 19:51:37
66,Prioritario,15,pyme,casa-Z,1,2020-10-15 19:51:52
88,retail,5,tienda-C,casa-P,1,2020-10-15 19:52:22
91,retail,120,tienda-B,casa-U,1,2020-10-15 19:52:07
100,retail,15,tienda-C,casa-A,2,2020-10-15 19:52:52
103,retail,30,tienda-A,casa-A,2,2020-10-15 19:53:07
112,retail,6,tienda-C,casa-N,2,2020-10-15 19:53:53
115,retail,90,tienda-A,casa-S,2,2020-10-15 19:54:08
